Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,36.040466,37.029266,35.587650,36.862926,35.231285,4631027
2020-01-03,36.086670,37.010784,36.086670,36.576450,34.957485,3850064
2020-01-06,36.594933,36.724308,35.827919,36.234528,34.630703,5162780
2020-01-07,36.253010,36.539486,35.911091,36.474796,34.860336,3330431
2020-01-08,36.502522,36.752033,36.049706,36.613415,34.992821,3299266
2020-01-09,36.557968,38.258339,36.465557,38.027309,36.344131,13837462
2020-01-10,38.165928,38.249100,37.703873,38.045792,36.361797,5222080
2020-01-13,38.258339,39.219418,37.971863,38.369232,36.670918,9342889
2020-01-14,38.212135,38.609505,37.842487,38.110481,36.423622,4465464
2020-01-15,37.888695,39.265625,37.768559,39.006870,37.280334,6542046
2020-01-16,39.459686,39.459686,38.119720,38.627983,36.918217,3381290
2020-01-17,38.535576,39.930988,38.535576,39.930988,38.163548,3377611
2020-01-20,39.764645,40.836620,39.570583,40.522419,38.728802,2746304
2020-01-21,40.198978,40.485455,39.736923,39.746162,37.986900,3614811
2020-01-22,39.921745,41.492741,39.894024,41.492741,39.656174,3122340
2020-01-23,40.910549,41.381847,40.485455,40.550144,38.755299,4905993
2020-01-24,40.531662,40.818138,39.570583,39.570583,37.819096,3790114
2020-01-27,39.182453,39.533615,38.424679,38.720398,37.006538,6054985
2020-01-28,39.043839,41.076889,38.868256,40.947514,39.135078,4525196
2020-01-29,41.197021,41.381847,40.374561,40.661037,38.861286,3216376
2020-01-30,40.605591,41.261711,39.949471,40.818138,39.011433,5014530
2020-01-31,40.818138,41.668324,40.078846,41.428051,39.594345,8292587
2020-02-03,35.116348,39.718441,34.894562,37.676147,36.008514,48850224
2020-02-04,38.627983,39.182453,37.056992,38.156689,36.467785,14345192
2020-02-05,38.406197,39.459686,37.796284,39.274864,37.536465,16229590
2020-02-06,39.589066,40.439251,39.145489,39.413483,37.668949,9951580
2020-02-07,39.025352,39.404240,36.289974,36.530247,34.913330,9216065
2020-02-10,35.070145,35.254967,30.237026,30.505018,29.154795,45987050
2020-02-11,31.512304,32.334766,29.756487,32.020569,30.603262,21319652
2020-02-12,32.445660,32.528831,31.059488,31.142658,29.764212,13124456
2020-02-13,30.578947,30.874664,29.941309,30.310955,28.969322,9645341
2020-02-14,30.495777,32.242355,30.375643,32.020569,30.603262,16992699
2020-02-17,32.260838,34.192238,31.419891,33.822590,32.325520,16168667
2020-02-18,33.443703,34.829876,32.344006,33.545357,32.060558,17059466
2020-02-19,35.809437,36.040466,33.554596,33.887280,32.387348,36344414
2020-02-20,33.822590,34.377060,31.521545,31.780296,30.373625,17630824
2020-02-21,31.817261,31.817261,29.858139,30.052202,28.722021,21914276
2020-02-26,null,null,null,null,null,null
2020-02-27,29.617868,32.565796,29.617868,31.540028,30.143991,31483328
2020-02-28,30.514259,31.336721,29.396082,30.726807,29.366764,25074057
2020-03-02,30.310955,30.893147,28.046873,28.046873,26.805452,19598870
